"c_object_ID","NRI","JSG","NZA","ROZ","TZG","NWN","KRG","OPT"
"2","P.1607.1980.64","","","","","","471",""
"3","P.1607.1981.105","","","","","","472",""
"4","P.1607.1982.123","","","","","","473",""
"5","P.1607.1987.86","","","","","","474",""
"6","P.1607.1987.87","","","","","","475",""
"7","P.1607.1988.135","","","","","","476",""
"8","P.1607.1988.136","","","","","","477",""
"9","P.1607.1989.93","","","","","","478",""
"10","P.1607.1989.94","","","","","","479",""
"11","P.1607.1990.80","","","","","","480",""
"12","P.1607.1992.125","","","","","","481",""
"13","P.1607.1993.119","","","","","","482",""
"14","P.1607.1993.120","","","","","","483",""
"15","P.1607.1993.121","","","","","","484",""
"16","P.1607.1994.146","","","","","","485",""
"17","P.1607.1994.147","","","","","","486",""
"18","P.1607.1994.148","","","","","","487",""
"19","P.1607.1994.149","","","","","","488",""
"20","P.1607.1994.150","","","","","","489",""
"21","P.1607.1994.202","","","","","","490",""
"22","P.1607.1994.203","","","","","","491",""
"23","P.1607.1995.147","","","","","","492",""
"24","P.1607.1995.148","","","","","","493",""
"25","P.1607.1995.149","","","","","","494",""
"26","P.1607.1995.150","","","","","","495",""
"27","P.1607.1995.151","","","","","","496",""
"28","P.1607.1995.152","","","","","","497",""
"29","P.1607.1995.219","","","","","","498",""
"30","P.1607.1996.120","","","","","","499",""
"31","P.1607.1996.121","","","","","","500",""
"32","P.1607.1996.122","","","","","","501",""
"33","P.1607.1996.123","","","","","","502",""
"34","P.1607.1996.124","","","","","","503",""
"35","P.1607.1996.125","","","","","","504",""
"36","P.1607.1996.126","","","","","","505",""
"37","P.1607.1996.187","","","","","","506",""
"38","P.1607.1997.128","","","","","","507",""
"39","P.1607.1997.129","","","","","","508",""
"40","P.1607.1997.130","","","","","","509",""
"41","P.1607.1998.126","","","","","","510",""
"42","P.1607.1998.127","","","","","","511",""
"43","P.1607.1998.128","","","","","","512",""
"44","P.1607.1998.129","","","","","","513",""
"45","P.1607.1998.130","","","","","","514",""
"46","P.1607.1998.131","","","","","","515",""
"47","P.1607.1998.132","","","","","","516",""
"48","P.1607.1999.140","","","","","","517",""
"49","P.1607.1999.141","","","","","","518",""
"50","P.1607.1999.142","","","","","","519",""
"51","P.1607.1999.143","","","","","","520",""
"52","P.1607.1999.144","","","","","","521",""
"53","P.1607.1999.145","","","","","","522",""
"54","P.1607.1999.146","","","","","","523",""
"55","P.1607.2001.253","","","","","","524",""
"56","P.1607.2001.254","","","","","","525",""
"57","P.1607.2001.255","","","","","","526",""
"58","P.1607.2001.256","","","","","","527",""
"59","P.1607.2001.257","","","","","","528",""
"60","P.1607.2001.258","","","","","","529",""
"61","P.1607.2001.259","","","","","","530",""
"62","P.1607.2001.260","","","","","","531",""
"63","P.1607.2002.239","","","","","","532",""
"64","P.1607.2002.240","","","","","","533",""
"65","P.1607.2002.241","","","","","","534",""
"66","P.1607.2003.188","","","","","","535",""
"67","P.1607.2003.189","","","","","","536",""
"68","P.1607.2003.190","","","","","","537",""
"69","P.1607.2003.191","","","","","","538",""
"70","P.1607.2003.273","","","","","","539",""
"71","P.1607.2004.250","","","","","","540",""
"72","P.1607.2004.251","","","","","","541",""
"73","P.1607.2004.252","","","","","","542",""
"74","P.1607.2004.253","","","","","","543",""
"75","P.1607.2004.254","","","","","","544",""
"76","P.1607.2004.255","","","","","","545",""
"77","P.1607.2005.257","","","","","","546",""
"78","P.1607.2005.258","","","","","","547",""
"79","P.1607.2005.259","","","","","","548",""
"80","P.1607.2005.260","","","","","","549",""
"81","P.1607.2005.261","","","","","","550",""
"82","P.1607.2005.262","","","","","","551",""
"83","P.1607.2005.263","","","","","","552",""
"84","P.1607.2005.328","","","","","","553",""
"85","P.1607.2006.290","","","","","","554",""
"86","P.1607.2006.291","","","","","","555",""
"87","P.1607.2006.292","","","","","","556",""
"88","P.1607.2006.293","","","","","","557",""
"89","P.1607.2006.294","","","","","","558",""
"90","P.1607.2006.295","","","","","","559",""
"91","P.1607.2006.296","","","","","","560",""
"92","P.1607.2006.297","","","","","","561",""
"93","P.1607.2006.298","","","","","","562",""
"94","P.1607.2006.299","","","","","","563",""
"95","P.1607.2006.300","","","","","","564",""
"96","P.1607.2007.343","","","","","","565",""
"97","P.1607.2008.442","","","","","","566",""
"98","P.1607.2012.323","","","","","","567",""
"99","P.1607.2012.324","","","","","","568",""
"100","P.1607.2014.1984","","","","","","569",""
"101","P.1607.2014.1986","","","","","","570",""
"102","P.1607.1982.124","","","","","","571",""
"103","P.1607.1984.152","","","","","","572",""
"104","P.1607.1984.153","","","","","","573",""
"105","P.1607.1993.122","","","","","","574",""
"106","P.1607.1994.99","","","","","","575",""
"107","P.1607.1994.100","","","","","","576",""
"108","P.1607.1994.101","","","","","","577",""
"109","P.1607.1994.102","","","","","","578",""
"110","P.1607.1994.103","","","","","","579",""
"111","P.1607.1994.104","","","","","","580",""
"112","P.1607.1994.151","","","","","","581",""
"113","P.1607.1994.152","","","","","","582",""
"114","P.1607.1994.153","","","","","","583",""
"115","P.1607.1994.154","","","","","","584",""
"116","P.1607.1994.155","","","","","","585",""
"117","P.1607.1994.156","","","","","","586",""
"118","P.1607.1994.157","","","","","","587",""
"119","P.1607.1995.99","","","","","","588",""
"120","P.1607.1995.100","","","","","","589",""
"121","P.1607.1995.101","","","","","","590",""
"122","P.1607.1995.102","","","","","","591",""
"123","P.1607.1995.153","","","","","","592",""
"124","P.1607.1995.154","","","","","","593",""
"125","P.1607.1995.155","","","","","","594",""
"126","P.1607.1995.156","","","","","","595",""
"127","P.1607.1996.99","","","","","","596",""
"128","P.1607.1996.100","","","","","","597",""
"129","P.1607.1996.101","","","","","","598",""
"130","P.1607.1996.102","","","","","","599",""
"131","P.1607.1996.103","","","","","","600",""
"132","P.1607.1996.127","","","","","","601",""
"133","P.1607.1996.128","","","","","","602",""
"134","P.1607.1996.129","","","","","","603",""
