Id materia³u zasobu	Rok	Jednostka	Data przyjêcia	KERG/ZUDP Ÿród³owy	Inna nazwa	CzyMaZasiegDzialka	CzyMaZasiegRastrowy	CzyMaZasiegNum
£¹ka, dz. 365	2009	<s> 3052	2009.09.07	KERG 3052-7/2008		Nie	Tak	Nie
P.1607.2016.2305	2016	<o> 0010	2016.11.09	GG-III.6640.2141.2016		Tak	Nie	Tak
P.1607.2016.2215	2016	<g> 721	2016.10.31	GG-III.6640.993.2016		Tak	Tak	Nie
P.1607.2016.1315	2016	<o> 0005	2016.06.22	GG-III.6640.283.2016	GG-III.6640.283.2016	Tak	Tak	Tak
P.1607.2010.147	2010	<o> 0008	2010.09.20	KERG 2909-164/2010	2909-164/2010	Nie	Tak	Tak
P.1607.2010.146	2010	<o> 0008	2010.09.02	KERG 2909-163/2010	2909-163/2010	Nie	Tak	Tak
P.1607.2010.145	2010	<o> 0008	2010.09.16	KERG 2909-159/2010	2909-159/2010	Nie	Tak	Tak
P.1607.2010.144	2010	<o> 0008	2010.08.27	KERG 2909-155/2010	2909-155/2010	Nie	Tak	Tak
P.1607.2010.143	2010	<o> 0008	2012.11.27	KERG 2909-153/2010	2909-153/2010	Nie	Tak	Tak
P.1607.2010.142	2010	<o> 0008	2010.12.16	KERG 2909-148/2010	2909-148/2010	Nie	Tak	Tak
P.1607.2010.141	2010	<o> 0008	2010.09.17	KERG 2909-142/2010	2909-142/2010	Nie	Tak	Tak
P.1607.2010.140	2010	<o> 0008	2010.09.08	KERG 2909-140/2010	2909-140/2010	Nie	Tak	Tak
P.1607.2010.139	2010	<o> 0008	2010.08.02	KERG 2909-132/2010	2909-132/2010	Nie	Tak	Tak
P.1607.2010.138	2010	<o> 0008	2010.08.05	KERG 2909-129/2010	2909-129/2010	Nie	Tak	Tak
P.1607.2016.1314	2016	<o> 0004	2016.06.22	GG-III.6640.110.2016	GG-III.6640.110.2016	Tak	Tak	Tak
P.1607.2010.137	2010	<o> 0008	2010.07.29	KERG 2909-126/2010	2909-126/2010	Nie	Tak	Tak
P.1607.2010.136	2010	<o> 0008	2010.08.05	KERG 2909-125/2010	2909-125/2010	Nie	Tak	Tak
P.1607.2010.135	2010	<o> 0008	2010.08.17	KERG 2909-124/2010	2909-124/2010	Nie	Tak	Tak
P.1607.2010.134	2010	<o> 0008	2010.11.17	KERG 2909-123/2010	2909-123/2010	Nie	Tak	Tak
P.1607.2010.133	2010	<o> 0008	2010.08.10	KERG 2909-112/2010	2909-112/2010	Nie	Tak	Tak
P.1607.2010.132	2010	<o> 0008	2010.02.08	KERG 2909-1/2010	2909-1/2010	Nie	Tak	Tak
P.1607.2010.131	2010	<o> 0007	2010.09.02	KERG 3005-83/2010	3005-83/2010	Nie	Nie	Tak
P.1607.2010.130	2010	<o> 0007	2011.02.22	KERG 3005-80/2010	3005-80/2010	Nie	Nie	Tak
P.1607.2010.129	2010	<o> 0007	2010.10.25	KERG 3005-76/2010	3005-76/2010	Nie	Nie	Tak
P.1607.2010.128	2010	<o> 0007	2010.10.12	KERG 3005-74/2010	3005-74/2010	Nie	Nie	Tak
P.1607.2016.1313	2016	<o> 0004	2016.06.22	GG-III.6640.500.2016		Tak	Tak	Tak
P.1607.2010.127	2010	<o> 0007	2010.06.07	KERG 3005-41/2010	3005-41/2010	Nie	Nie	Tak
P.1607.2010.126	2010	<o> 0007	2010.11.17	KERG 3005-110/2010	3005-110/2010	Nie	Nie	Tak
P.1607.2010.125	2010	<o> 0007	2010.11.17	KERG 3005-109/2010	3005-109/2010	Nie	Nie	Tak
P.1607.2010.124	2010	<o> 0007	2011.01.28	KERG 3005-101/2010	3005-101/2010	Nie	Nie	Tak
P.1607.2010.123	2010	<o> 0006	2010.05.10	KERG 2909-55/2010	2909-55/2010	Nie	Tak	Tak
P.1607.2010.122	2010	<o> 0006	2010.04.19	KERG 2909-33/2010	2909-33/2010	Nie	Tak	Tak
P.1607.2010.121	2010	<o> 0006	2010.04.06	KERG 2909-37/2010	2909-37/2010	Nie	Tak	Tak
P.1607.2010.120	2010	<o> 0006	2011.04.15	KERG 2909-184/2010	2909-184/2010	Nie	Nie	Tak
P.1607.2010.119	2010	<o> 0006	2010.10.07	KERG 2909-178/2010	2909-178/2010	Nie	Nie	Tak
P.1607.2010.118	2010	<o> 0006	2010.12.06	KERG 2909-158/2010	2909-158/2010	Nie	Nie	Tak
P.1607.2016.1312	2016	<o> 0008	2016.06.22	GG-III.6640.263.2016		Tak	Tak	Tak
P.1607.2010.117	2010	<o> 0006	2010.05.04	KERG 2909-14/2010	2909-14/2010	Nie	Tak	Tak
P.1607.2010.116	2010	<o> 0006	2010.12.30	KERG 2909-138/2010	2909-138/2010	Nie	Tak	Tak
P.1607.2010.115	2010	<o> 0006	2011.05.26	KERG 2909-127/2010	2909-127/2010	Nie	Nie	Tak
P.1607.2010.114	2010	<o> 0006	2011.03.10	KERG 2909-118/2010	2909-118/2010	Nie	Tak	Tak
P.1607.2010.113	2010	<o> 0006	2010.08.12	KERG 2909-101/2010	2909-101/2010	Nie	Tak	Tak
P.1607.2010.112	2010	<o> 0004	2010.11.15	KERG 2956-28/2010	2956-28/2010	Nie	Tak	Tak
P.1607.2010.111	2010	<o> 0004	2010.03.02	KERG 2909-13/2010	2909-13/2010	Nie	Nie	Tak
P.1607.2010.110	2010	<o> 0004	2010.12.28	KERG 2909-107/2010	2909-107/2010	Nie	Tak	Tak
P.1607.2010.109	2010	<o> 0004	2010.01.25	KERG 2909-8/2010	2909-8/2010	Nie	Nie	Tak
P.1607.2010.108	2010	<o> 0004	2012.11.23	KERG 2909-73/2010	2909-73/2010	Nie	Nie	Tak
P.1607.2016.1311	2016	<o> 0024	2016.06.21	GG-III.6640.1895.2015		Tak	Tak	Tak
P.1607.2010.107	2010	<o> 0004	2010.04.23	KERG 2909-62/2010	2909-62/2010	Nie	Tak	Tak
P.1607.2010.106	2010	<o> 0004	2010.04.29	KERG 2909-57/2010	2909-57/2010	Nie	Tak	Tak
P.1607.2010.105	2010	<o> 0004	2010.04.27	KERG 2909-51/2010	2909-51/2010	Nie	Tak	Tak
P.1607.2010.104	2010	<o> 0004	2010.01.26	KERG 2909-5/2010	2909-5/2010	Nie	Nie	Tak
P.1607.2010.103	2010	<o> 0004	2010.04.19	KERG 2909-45/2010	2909-45/2010	Nie	Tak	Tak
P.1607.2010.102	2010	<o> 0004	2010.07.14	KERG 2909-32/2010	2909-32/2010	Nie	Nie	Tak
P.1607.2010.101	2010	<o> 0004	2010.04.29	KERG 2909-31/2010	2909-31/2010	Nie	Tak	Tak
P.1607.2010.100	2010	<o> 0004	2010.04.29	KERG 2909-26/2010	2909-26/2010	Nie	Tak	Tak
P.1607.2010.99	2010	<o> 0004	2011.01.24	KERG 2909-237/2010	2909-237/2010	Nie	Tak	Tak
P.1607.2010.98	2010	<o> 0004	2011.01.20	KERG 2909-230/2010	2909-230/2010	Nie	Nie	Tak
P.1607.2016.1310	2016	<o> 0001	2016.06.21	GG-III.6640.2306.2015	GG-III.6640.2306.2015	Tak	Tak	Tak
P.1607.2010.97	2010	<o> 0004	2011.01.07	KERG 2909-206/2010	2909-206/2010	Nie	Nie	Tak
P.1607.2010.96	2010	<o> 0004	2010.11.17	KERG 2909-205/2010	2909-205/2010	Nie	Nie	Tak
P.1607.2010.95	2010	<o> 0004	2010.11.04	KERG 2909-190/2010	2909-190/2010	Nie	Tak	Tak
P.1607.2010.94	2010	<o> 0004	2010.10.15	KERG 2909-182/2010	2909-182/2010	Nie	Tak	Tak
P.1607.2010.93	2010	<o> 0004	2010.11.05	KERG 2909-180/2010	2909-180/2010	Nie	Tak	Tak
P.1607.2010.92	2010	<o> 0004	2010.02.22	KERG 2909-18/2010	2909-18/2010	Nie	Nie	Tak
P.1607.2010.91	2010	<o> 0004	2011.06.02	KERG 2909-157/2010	2909-157/2010	Nie	Nie	Tak
P.1607.2010.90	2010	<o> 0004	2010.11.16	KERG 2909-150/2010	2909-150/2010	Nie	Tak	Tak
P.1607.2010.89	2010	<o> 0004	2010.11.15	KERG 2909-149/2010	2909-149/2010	Nie	Tak	Tak
P.1607.2010.88	2010	<o> 0004	2010.08.13	KERG 2909-145/2010	2909-145/2010	Nie	Tak	Tak
P.1607.2016.1309	2016	<o> 0005	2016.06.21	GG-III.6640.1107.2016	GG-III.6640.1107.2016	Tak	Nie	Tak
P.1607.2010.87	2010	<o> 0004	2012.02.29	KERG 2909-128/2010	2909-128/2010	Nie	Tak	Tak
P.1607.2010.86	2010	<o> 0004	2010.12.01		2909-127/2010	Nie	Nie	Tak
P.1607.2010.85	2010	<o> 0004	2010.02.18	KERG 2909-12/2010	2909-12/2010	Nie	Nie	Tak
P.1607.2010.84	2010	<o> 0004	2010.07.23	KERG 2909-109/2010	2909-109/2010	Nie	Tak	Tak
