"c_ID","c_ordering_number","c_parent_ID","c_dictionary_def_ID","c_value","c_description","c_code","c_is_active","c_modification_date"
"1","1","","1","szkic polowy/zbi?r szkic?w polowych","szkic polowy/zbi?r szkic?w polowych","szkicPolowyZbSzkicow","True","2016-09-30 15:04:42"
"2","2","","1","wykaz wsp??rz?dnych/zbi?r wykaz?w wsp??rz?dnych","wykaz wsp??rz?dnych/zbi?r wykaz?w wsp??rz?dnych","wykazWspZbWykazowWsp","True","2016-09-30 15:04:42"
"3","3","","1","protok??/zbi?r protoko??w","protok??/zbi?r protoko??w","protokolZbProtokolow","True","2016-09-30 15:04:42"
"4","4","","1","opis topograficzny/zbi?r opis?w topograficznych","opis topograficzny/zbi?r opis?w topograficznych","opisTopoZbOpisowTopo","True","2016-09-30 15:04:42"
"5","5","","1","sprawozdanie techniczne","sprawozdanie techniczne","sprawTechniczne","True","2016-09-30 15:04:42"
"6","6","","1","mapa","mapa","mapa","True","2016-09-30 15:04:42"
"7","7","","1","dziennik pomiarowy","dziennik pomiarowy","dziennikPomiarowy","True","2016-09-30 15:04:42"
"8","8","","1","plik danych EGIB","plik danych EGIB","plikDanychEGIB","True","2016-09-30 15:04:43"
"9","9","","1","plik danych GESUT","plik danych GESUT","plikDanychGESUT","True","2016-09-30 15:04:43"
"10","10","","1","plik danych K-GESUT","plik danych K-GESUT","plikDanychK-GESUT","True","2016-09-30 15:04:43"
"11","11","","1","plik danych BDOT500","plik danych BDOT500","plikDanychBDOT500","True","2016-09-30 15:04:43"
"12","12","","1","plik danych PRPOG","plik danych PRPOG","plikDanychPRPOG","True","2016-09-30 15:04:43"
"13","13","","1","plik danych BDSOG","plik danych BDSOG","plikDanychBDSOG","True","2016-09-30 15:04:43"
"14","14","","1","plik danych BDOT10k","plik danych BDOT10k","plikDanychBDOT10k","True","2016-09-30 15:04:43"
"15","15","","1","plik danych Z-BDOT10k","plik danych Z-BDOT10k","plikDanychZ-BDOT10k","True","2016-09-30 15:04:43"
"16","16","","1","plik danych BDOO","plik danych BDOO","plikDanychBDOO","True","2016-09-30 15:04:43"
"17","17","","1","plik danych BDZLIS","plik danych BDZLIS","plikDanychBDZLIS","True","2016-09-30 15:04:43"
"18","18","","1","plik danych BDNMT","plik danych BDNMT","plikDanychBDNMT","True","2016-09-30 15:04:43"
"19","19","","1","plik danych BDORTO","plik danych BDORTO","plikDanychBDORTO","True","2016-09-30 15:04:43"
"20","20","","1","plik danych PRG","plik danych PRG","plikDanychPRG","True","2016-09-30 15:04:43"
"21","21","","1","plik danych PRNG","plik danych PRNG","plikDanychPRNG","True","2016-09-30 15:04:43"
"22","22","","1","inny","inny","inny","True","2016-09-30 15:04:43"
"23","1","","4","Zgodny","Ruch jednokierunkowy zgodny z kierunkiem definicji obiektu liniowego","","True","2016-09-30 15:04:43"
"24","2","","4","Niezgodny","Ruch jednokierunkowy przeciwny do kierunku definicji obiektu liniowego","","True","2016-09-30 15:04:43"
"25","3","","4","Dwukierunkowy","Ruch dwukierunkowy","","True","2016-09-30 15:04:43"
"26","4","","4","Brak danych","","","True","2016-09-30 15:04:43"
"27","1","","5","Amsterdam2000","poziom odniesienia Amsterdam2000","Amsterdam2000","True","2016-09-30 15:04:43"
"28","2","","5","Amsterdam55","poziom odniesienia Amsterdam55","Amsterdam55","True","2016-09-30 15:04:43"
"29","3","","5","ETRF2000","geodezyjny poziom odniesienia ETRF2000","ETRF2000","True","2016-09-30 15:04:43"
"30","4","","5","ETRF2008","geodezyjny poziom odniesienia ETRF2008","ETRF2008","True","2016-09-30 15:04:43"
"31","5","","5","EUREF89","geodezyjny poziom odniesienia EUREF89","EUREF89","True","2016-09-30 15:04:43"
"32","6","","5","EVRS2007","pa?stwowy poziom odniesienia EVRS2007","EVRS2007","True","2016-09-30 15:04:43"
"33","7","","5","Kronsztadt2006","pa?stwowy poziom odniesienia Kronsztadt2006","Kronsztadt2006","True","2016-09-30 15:04:43"
"34","8","","5","Kronsztadt86","pa?stwowy poziom odniesienia Kronsztadt86","Kronsztadt86","True","2016-09-30 15:04:43"
"35","9","","5","Kronsztadt60","pa?stwowy poziom odniesienia Kronsztadt60","Kronsztadt60","True","2016-09-30 15:04:43"
"36","10","","5","Pulkowo42","geodezyjny poziom odniesienia Pulkowo42","Pulkowo42","True","2016-09-30 15:04:43"
"37","1","","8","P","Pomiar na osnow? i obliczenia w tym pom. GPS powi?z. z osnow?","","True","2016-09-30 15:04:43"
"38","2","","8","D","Digitalizacja mapy i wektoryzacja rastra mapy","","True","2016-09-30 15:04:43"
"39","3","","8","A","Pomiar wykrywaczem przewod?w","","True","2016-09-30 15:04:43"
"40","4","","8","B","Dane bran?owe","","True","2016-09-30 15:04:43"
"41","5","","8","X","Nieokre?lona - brak danych","","True","2016-09-30 15:04:43"
"42","6","","8","F","Fotogrametria","","True","2016-09-30 15:04:43"
"43","7","","8","G","GPS bez powi?zania z osnow?","","True","2016-09-30 15:04:43"
"44","8","","8","I","Inna","","True","2016-09-30 15:04:43"
"45","9","","8","M","Pomiar w oparciu o elementy mapy lub dane projektowe","","True","2016-09-30 15:04:43"
"46","10","","8","N","Niepoprawna - brak miar kontr. podejrzane lub oczywi?cie b??dne","","True","2016-09-30 15:04:43"
"47","1","","9","1","Astronomiczny","","True","2016-09-30 15:04:43"
"48","2","","9","2","GPS","","True","2016-09-30 15:04:43"
"49","3","","9","3","Trygonometryczny","","True","2016-09-30 15:04:43"
"50","4","","9","4","Poligonowy","","True","2016-09-30 15:04:43"
"51","5","","9","5","Z wci?cia","","True","2016-09-30 15:04:43"
"52","6","","9","6","Sytuacyjny","","True","2016-09-30 15:04:43"
"53","1","","10","1","Trygonometryczny","","True","2016-09-30 15:04:43"
"54","2","","10","2","Geometryczny","","True","2016-09-30 15:04:43"
"55","1","","11","31","Punkty za?o?one zgodnie z instrukcj? G-2","","True","2016-09-30 15:04:43"
"56","2","","11","32","Punkty z niwelacji pa?stwowej 3 klasy o b??dzie mniejszym od 4 mm/km","","True","2016-09-30 15:04:43"
"57","3","","11","33","Niwelacja lokalnego znaczenia 3 klasy o b??dzie mniejszym od 4 mm/km","","True","2016-09-30 15:04:43"
"58","4","","11","41","Punkty za?o?one zgodnie z instrukcj? G-2","","True","2016-09-30 15:04:43"
"59","5","","11","42","Punkty z niwelacji pa?stwowej 4 klasy o b??dzie mniejszym od 4 mm/km","","True","2016-09-30 15:04:43"
"60","6","","11","43","Niwelacja lokalnego znaczenia 4 klasy o b??dzie mniejszym od 4 mm/km","","True","2016-09-30 15:04:43"
"61","7","","11","51","Punkty za?o?one zgodnie z instrukcj? G-4","","True","2016-09-30 15:04:43"
"62","8","","11","52","Repery robocze za?o?one z b??dem > 20mm/km lub b??dem okre?lenia wysoko?ci > 0.05m","","True","2016-09-30 15:04:43"
"63","1","","12","1","Osoba fizyczna","","True","2016-09-30 15:04:43"
"64","2","","12","2","Osoba prawna","","True","2016-09-30 15:04:43"
"65","3","","12","3","Jednostka organizacyjna","","True","2016-09-30 15:04:43"
"66","1","","13","Polska","Rzeczpospolita Polska","","True","2016-09-30 15:04:43"
"67","1","","14","1","M?ska","","True","2016-09-30 15:04:43"
"68","2","","14","2","?e?ska","","True","2016-09-30 15:04:43"
"69","1","","16","Wprowadzana w Mapie","","1","True","2016-09-30 15:04:43"
"70","2","","16","Zako?czona w Mapie","","2","True","2016-09-30 15:04:43"
"71","3","","16","Zako?czona i zaakceptowana","","3","True","2016-09-30 15:04:43"
"72","1","","18","wektorowa","Mapa wektorowa","","True","2016-09-30 15:04:43"
"73","2","","18","hybrydowa","Mapa hybrydowa","","True","2016-09-30 15:04:43"
"74","1","","19","1:250","Skala 1:250","","True","2016-09-30 15:04:43"
"75","2","","19","1:500","Skala 1:500","","True","2016-09-30 15:04:43"
"76","3","","19","1:1000","Skala 1:1000","","True","2016-09-30 15:04:43"
"77","4","","19","1:2000","Skala 1:2000","","True","2016-09-30 15:04:43"
"78","5","","19","1:5000","Skala 1:5000","","True","2016-09-30 15:04:43"
"79","6","","19","1:10000","Skala 1:10000","","True","2016-09-30 15:04:43"
"80","30","","1","Wpasowany raster","Wpasowany raster","","True","2016-09-30 15:04:43"
"81","31","","1","Parametry wpasowanego rastra","Parametry wpasowanego rastra","","True","2016-09-30 15:04:43"
"82","1","","20","1","Mapa sekcyjna","","True","2016-09-30 15:04:43"
"83","2","","20","1.1","Nak?adka osn?w geodezyjnych","","True","2016-09-30 15:04:43"
"84","3","","20","1.2","Nak?adka ewidencji grunt?w i budynk?w","","True","2016-09-30 15:04:43"
"85","4","","20","1.3","Nak?adka sieci uzbrojenia terenu","","True","2016-09-30 15:04:43"
"86","5","","20","1.4","Nak?adka sytuacyjna","","True","2016-09-30 15:04:43"
"87","6","","20","1.5","Nak?adka rze?by terenu","","True","2016-09-30 15:04:43"
"88","7","","20","1.6","Nak?adka realizacji uzgodnie? projektowych","","True","2016-09-30 15:04:43"
"89","8","","20","1.7","Mapa zasadnicza ? pe?na tre???","","True","2016-09-30 15:04:43"
"90","9","","20","2","Mapa Arkusza ewidencyjnego","","True","2016-09-30 15:04:43"
"91","10","","20","3","Mapa wst?gowa","","True","2016-09-30 15:04:43"
"92","11","","20","4","Ortofotomapa","","True","2016-09-30 15:04:43"
"93","12","","20","5","Inny","","True","2016-09-30 15:04:43"
"94","1","","21","1:250","Skala 1:250","","True","2016-09-30 15:04:43"
"95","2","","21","1:500","Skala 1:500","","True","2016-09-30 15:04:43"
"96","3","","21","1:1000","Skala 1:1000","","True","2016-09-30 15:04:43"
"97","4","","21","1:2000","Skala 1:2000","","True","2016-09-30 15:04:43"
